PacketNumber,TotalSize,MagicByte,StreamID,SequenceNum,FragmentType,Timestamp,HasJPEG,PayloadStart
307,7360,2,1452,23330,0,0.00,1,"ff d8 ff e0 00"
308,7360,2,1452,23330,7260,0.00,0,"03 37 19 f8 7a"
309,2920,2,1452,23330,14520,0.00,0,"3d 57 42 00 c2"
310,7360,2,1452,23331,0,0.00,1,"ff d8 ff e0 00"
311,7360,2,1452,23331,7260,0.00,0,"6a e0 82 db ea"
312,2920,2,1452,23331,14520,0.00,0,"58 11 88 cc 87"
313,7360,2,1452,23332,0,0.00,1,"ff d8 ff e0 00"
314,7360,2,1452,23332,7260,0.00,0,"f5 4e 5f 35 b7"
315,3452,2,1452,23332,14520,0.00,0,"c2 6c a0 5b 96"
316,7360,2,1452,23333,0,0.00,1,"ff d8 ff e0 00"
317,7360,2,1452,23333,7260,0.00,0,"7a f2 e3 a9 ad"
318,3452,2,1452,23333,14520,0.00,0,"85 2d c9 45 6c"
319,7360,2,1452,23334,0,0.00,1,"ff d8 ff e0 00"
320,7360,2,1452,23334,7260,0.00,0,"b6 2e 07 c9 74"
321,3452,2,1452,23334,14520,0.00,0,"a1 ac d7 2c a4"
322,7360,2,1452,23335,0,0.00,1,"ff d8 ff e0 00"
323,7360,2,1452,23335,7260,0.00,0,"98 99 94 4c 39"
324,3452,2,1452,23335,14520,0.00,0,"c3 03 e0 ae 61"
325,7360,2,1452,23336,0,0.00,1,"ff d8 ff e0 00"
326,7360,2,1452,23336,7260,0.00,0,"61 b3 2a 5c e3"
327,3452,2,1452,23336,14520,0.00,0,"22 0a c3 8a a7"
328,7360,2,1452,23337,0,0.00,1,"ff d8 ff e0 00"
329,7360,2,1452,23337,7260,0.00,0,"87 38 d1 a8 a7"
330,3452,2,1452,23337,14520,0.00,0,"f6 77 67 49 85"
331,7360,2,1452,23338,0,0.00,1,"ff d8 ff e0 00"
332,7360,2,1452,23338,7260,0.00,0,"74 e9 fc 7c 99"
333,3452,2,1452,23338,14520,0.00,0,"30 42 a9 f1 10"
334,7360,2,1452,23339,0,0.00,1,"ff d8 ff e0 00"
335,7360,2,1452,23339,7260,0.00,0,"0d c7 f9 d7 f1"
336,3452,2,1452,23339,14520,0.00,0,"db 42 ea 54 c7"
337,7360,2,1452,23340,0,0.00,1,"ff d8 ff e0 00"
338,7360,2,1452,23340,7260,0.00,0,"3b 0b d4 f2 11"
339,3452,2,1452,23340,14520,0.00,0,"0b d7 55 59 65"
